Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_weekBatchRetrain,Home_weekBatchRetrain,Away_weekBatchRetrain,ActualWinner_weekBatchRetrain,PredictedWinner_weekBatchRetrain,ActualSpread_weekBatchRetrain,PredictedSpread_weekBatchRetrain,SpreadError_weekBatchRetrain,Correct_weekBatchRetrain,HomePoints_weekBatchRetrain,AwayPoints_weekBatchRetrain,PredictedHomePoints_weekBatchRetrain,PredictedAwayPoints_weekBatchRetrain
2025-01-11,Portland Trail Blazers,Miami Heat,Miami Heat,Miami Heat,21.0,12.9,8.1,True,98.0,119.0,103.3,116.2,2025-01-11,Portland Trail Blazers,Miami Heat,Miami Heat,Miami Heat,21.0,9.6,11.4,True,98.0,119.0,112.0,121.6
2025-01-11,Phoenix Suns,Utah Jazz,Phoenix Suns,Phoenix Suns,8.0,5.4,2.5999999999999996,True,114.0,106.0,113.7,108.3,2025-01-11,Phoenix Suns,Utah Jazz,Phoenix Suns,Utah Jazz,8.0,0.6,7.4,False,114.0,106.0,117.7,118.3
2025-01-11,Minnesota Timberwolves,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,2.0,2.8,0.7999999999999998,True,125.0,127.0,121.5,124.3,2025-01-11,Minnesota Timberwolves,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,2.0,4.8,2.8,True,125.0,127.0,118.1,122.8
2025-01-11,Detroit Pistons,Toronto Raptors,Detroit Pistons,Detroit Pistons,9.0,8.7,0.3000000000000007,True,123.0,114.0,118.3,109.6,2025-01-11,Detroit Pistons,Toronto Raptors,Detroit Pistons,Detroit Pistons,9.0,8.0,1.0,True,123.0,114.0,113.4,105.4
2025-01-10,Denver Nuggets,Brooklyn Nets,Denver Nuggets,Denver Nuggets,19.0,14.0,5.0,True,124.0,105.0,121.4,107.4,2025-01-10,Denver Nuggets,Brooklyn Nets,Denver Nuggets,Denver Nuggets,19.0,8.2,10.8,True,124.0,105.0,119.2,111.0
2025-01-10,New York Knicks,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,25.0,14.3,10.7,True,101.0,126.0,108.4,122.6,2025-01-10,New York Knicks,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,25.0,0.5,24.5,True,101.0,126.0,114.0,114.5
2025-01-10,Boston Celtics,Sacramento Kings,Sacramento Kings,Sacramento Kings,17.0,10.9,6.1,True,97.0,114.0,103.7,114.6,2025-01-10,Boston Celtics,Sacramento Kings,Sacramento Kings,Boston Celtics,17.0,6.7,10.3,False,97.0,114.0,116.4,109.7
2025-01-10,Chicago Bulls,Washington Wizards,Chicago Bulls,Chicago Bulls,33.0,20.7,12.3,True,138.0,105.0,128.9,108.2,2025-01-10,Chicago Bulls,Washington Wizards,Chicago Bulls,Chicago Bulls,33.0,14.7,18.3,True,138.0,105.0,122.8,108.1
2025-01-10,Orlando Magic,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,3.0,11.8,8.8,True,106.0,109.0,96.9,108.6,2025-01-10,Orlando Magic,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,3.0,11.0,8.0,True,106.0,109.0,93.6,104.6
2025-01-10,Indiana Pacers,Golden State Warriors,Indiana Pacers,Indiana Pacers,12.0,4.3,7.7,True,108.0,96.0,106.0,101.6,2025-01-10,Indiana Pacers,Golden State Warriors,Indiana Pacers,Indiana Pacers,12.0,7.2,4.8,True,108.0,96.0,111.1,103.9
2025-01-10,Philadelphia 76ers,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,8.0,1.6,6.4,True,115.0,123.0,107.5,109.1,2025-01-10,Philadelphia 76ers,New Orleans Pelicans,New Orleans Pelicans,Philadelphia 76ers,8.0,6.7,1.2999999999999998,False,115.0,123.0,109.6,102.9
2025-01-09,Utah Jazz,Miami Heat,Miami Heat,Miami Heat,5.0,4.7,0.2999999999999998,True,92.0,97.0,103.1,107.8,2025-01-09,Utah Jazz,Miami Heat,Miami Heat,Miami Heat,5.0,0.9,4.1,True,92.0,97.0,115.7,116.6
2025-01-09,Phoenix Suns,Atlanta Hawks,Phoenix Suns,Phoenix Suns,8.0,7.4,0.5999999999999996,True,123.0,115.0,118.6,111.2,2025-01-09,Phoenix Suns,Atlanta Hawks,Phoenix Suns,Phoenix Suns,8.0,1.6,6.4,True,123.0,115.0,118.6,117.0
2025-01-09,Memphis Grizzlies,Houston Rockets,Houston Rockets,Memphis Grizzlies,4.0,2.6,1.4,False,115.0,119.0,116.9,114.2,2025-01-09,Memphis Grizzlies,Houston Rockets,Houston Rockets,Memphis Grizzlies,4.0,8.9,4.9,False,115.0,119.0,120.9,112.1
2025-01-09,Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,6.0,12.8,6.800000000000001,True,117.0,111.0,120.7,107.9,2025-01-09,Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,6.0,13.6,7.6,True,117.0,111.0,123.8,110.2
